datetime,AUBANK_open,AUBANK_high,AUBANK_low,AUBANK_close,AUBANK_volume
2023-01-02 09:15:59,656.9,659.35,655.85,658.85,9418.0
2023-01-02 09:16:59,658.85,660.9,658.85,658.9,7662.0
2023-01-02 09:17:59,658.95,659.05,658.1,658.8,7428.0
2023-01-02 09:18:59,658.5,659.0,657.85,658.95,5513.0
2023-01-02 09:19:59,658.95,659.25,657.95,657.95,1852.0
2023-01-02 09:20:59,658.0,658.7,656.8,658.25,6866.0
2023-01-02 09:21:59,657.6,658.2,657.3,657.55,1993.0
2023-01-02 09:22:59,657.1,657.75,656.3,657.75,4476.0
2023-01-02 09:23:59,657.15,657.4,655.3,655.75,8997.0
2023-01-02 09:24:59,656.2,658.0,656.2,656.95,1592.0
2023-01-02 09:25:59,657.25,657.65,655.15,655.65,8493.0
2023-01-02 09:26:59,655.65,656.6,655.65,656.6,1338.0
2023-01-02 09:27:59,656.0,656.0,655.0,655.65,4614.0
2023-01-02 09:28:59,655.5,655.5,654.45,654.75,2089.0
2023-01-02 09:29:59,654.75,655.35,654.5,655.3,451.0
2023-01-02 09:30:59,655.3,655.9,655.3,655.9,1756.0
2023-01-02 09:31:59,655.9,655.9,655.05,655.5,805.0
2023-01-02 09:32:59,655.5,655.8,655.15,655.35,939.0
2023-01-02 09:33:59,655.35,657.2,655.35,657.15,1539.0
2023-01-02 09:34:59,656.25,657.95,655.9,656.5,3643.0
2023-01-02 09:35:59,657.15,657.7,656.6,657.7,415.0
2023-01-02 09:36:59,657.25,657.7,657.15,657.7,1319.0
2023-01-02 09:37:59,657.7,658.15,657.3,657.85,817.0
2023-01-02 09:38:59,658.25,659.35,658.25,659.35,4084.0
2023-01-02 09:39:59,659.35,660.7,659.0,660.5,4778.0
2023-01-02 09:40:59,660.5,660.5,658.4,658.5,6324.0
2023-01-02 09:41:59,658.95,659.0,658.55,658.55,394.0
2023-01-02 09:42:59,658.55,659.0,658.55,659.0,366.0
2023-01-02 09:43:59,659.0,659.25,658.5,659.25,2690.0
2023-01-02 09:44:59,659.25,659.4,659.1,659.3,697.0
2023-01-02 09:45:59,659.65,659.65,658.85,658.85,1666.0
