datetime,AXISBANK_open,AXISBANK_high,AXISBANK_low,AXISBANK_close,AXISBANK_volume
2023-01-02 09:15:59,932.25,938.7,932.25,938.0,35488.0
2023-01-02 09:16:59,938.5,938.75,937.6,938.5,10392.0
2023-01-02 09:17:59,938.7,938.7,937.0,938.0,13885.0
2023-01-02 09:18:59,937.65,938.4,937.4,937.75,13627.0
2023-01-02 09:19:59,937.9,938.45,936.55,936.75,9467.0
2023-01-02 09:20:59,937.1,938.0,936.0,937.3,17086.0
2023-01-02 09:21:59,937.6,937.9,935.3,935.95,23281.0
2023-01-02 09:22:59,935.7,936.0,935.0,935.3,10262.0
2023-01-02 09:23:59,935.25,935.65,934.15,935.25,18543.0
2023-01-02 09:24:59,935.25,937.0,935.0,936.4,8134.0
2023-01-02 09:25:59,936.5,936.75,935.65,936.35,11497.0
2023-01-02 09:26:59,936.4,936.4,935.0,935.0,5817.0
2023-01-02 09:27:59,935.0,935.5,934.65,935.35,7004.0
2023-01-02 09:28:59,935.3,936.05,934.8,935.0,6345.0
2023-01-02 09:29:59,935.1,935.4,934.0,934.8,7189.0
2023-01-02 09:30:59,934.8,935.6,934.15,934.35,6474.0
2023-01-02 09:31:59,934.15,934.7,933.75,934.4,20093.0
2023-01-02 09:32:59,934.55,934.65,933.95,934.25,4776.0
2023-01-02 09:33:59,934.45,936.9,934.15,936.15,5446.0
2023-01-02 09:34:59,936.15,937.5,935.8,937.05,16261.0
2023-01-02 09:35:59,936.95,937.2,936.0,936.3,11694.0
2023-01-02 09:36:59,936.45,938.75,936.4,938.45,74445.0
2023-01-02 09:37:59,938.4,938.6,937.7,937.9,7535.0
2023-01-02 09:38:59,937.7,938.9,937.7,938.45,17855.0
2023-01-02 09:39:59,938.45,939.85,938.4,939.5,22142.0
2023-01-02 09:40:59,939.6,939.6,938.3,938.95,21621.0
2023-01-02 09:41:59,939.0,939.8,938.8,939.8,6734.0
2023-01-02 09:42:59,939.3,939.95,939.1,939.8,10833.0
2023-01-02 09:43:59,939.85,940.75,939.0,940.45,40095.0
2023-01-02 09:44:59,940.45,941.3,940.05,941.3,12767.0
2023-01-02 09:45:59,941.35,941.55,940.8,940.8,13180.0
2023-01-02 09:46:59,940.8,940.8,939.85,940.25,9326.0
2023-01-02 09:47:59,940.6,941.8,940.5,941.55,23381.0
2023-01-02 09:48:59,941.55,941.7,940.7,941.0,7139.0
2023-01-02 09:49:59,940.7,941.0,940.5,940.8,2658.0
2023-01-02 09:50:59,940.55,941.4,940.5,941.25,5875.0
2023-01-02 09:51:59,941.0,941.15,940.4,940.85,4049.0
2023-01-02 09:52:59,940.8,941.0,940.35,940.9,4324.0
2023-01-02 09:53:59,940.85,940.9,940.4,940.8,2716.0
2023-01-02 09:54:59,940.6,941.5,940.6,941.3,4072.0
2023-01-02 09:55:59,941.2,941.6,941.1,941.3,6700.0
2023-01-02 09:56:59,941.3,941.7,941.3,941.7,6686.0
2023-01-02 09:57:59,941.5,942.0,941.25,941.9,9285.0
2023-01-02 09:58:59,942.0,942.0,941.55,941.9,4412.0
2023-01-02 09:59:59,941.55,941.8,941.25,941.25,2132.0
2023-01-02 10:00:59,941.3,941.55,941.0,941.35,6768.0
2023-01-02 10:01:59,941.35,942.5,941.2,941.75,34821.0
2023-01-02 10:02:59,941.75,942.0,941.6,941.8,5511.0
2023-01-02 10:03:59,941.65,941.75,941.45,941.75,2542.0
2023-01-02 10:04:59,941.75,942.25,941.5,942.15,10895.0
2023-01-02 10:05:59,942.3,943.0,942.1,942.5,10037.0
2023-01-02 10:06:59,942.55,942.8,941.8,942.1,6083.0
2023-01-02 10:07:59,942.1,942.1,941.35,941.6,2824.0
2023-01-02 10:08:59,941.35,941.6,940.6,940.75,8846.0
2023-01-02 10:09:59,940.75,941.5,940.65,941.1,7926.0
2023-01-02 10:10:59,941.0,941.45,940.0,940.2,11181.0
2023-01-02 10:11:59,940.25,940.25,939.45,939.55,10924.0
2023-01-02 10:12:59,939.55,939.9,939.25,939.25,7918.0
2023-01-02 10:13:59,939.25,939.35,938.75,939.0,10692.0
2023-01-02 10:14:59,939.15,939.5,939.0,939.0,3609.0
2023-01-02 10:15:59,939.0,939.25,938.4,939.0,10829.0
2023-01-02 10:16:59,938.65,939.0,938.6,939.0,2854.0
2023-01-02 10:17:59,939.0,939.7,938.8,939.55,2261.0
2023-01-02 10:18:59,939.5,940.05,939.5,939.7,5039.0
2023-01-02 10:19:59,939.4,940.0,939.2,939.85,3946.0
2023-01-02 10:20:59,939.85,940.0,939.4,939.85,2211.0
2023-01-02 10:21:59,939.8,940.0,939.7,939.75,1252.0
2023-01-02 10:22:59,939.75,940.25,939.75,939.85,11396.0
2023-01-02 10:23:59,940.15,940.5,939.85,940.4,4231.0
2023-01-02 10:24:59,940.4,941.0,940.0,940.0,7518.0
2023-01-02 10:25:59,940.65,941.0,940.2,940.65,2291.0
2023-01-02 10:26:59,940.9,941.0,940.65,940.75,1946.0
2023-01-02 10:27:59,940.75,940.95,940.1,940.65,6036.0
2023-01-02 10:28:59,940.65,940.65,940.05,940.15,3210.0
2023-01-02 10:29:59,940.1,940.4,940.1,940.3,1564.0
2023-01-02 10:30:59,940.35,940.65,940.1,940.35,2102.0
2023-01-02 10:31:59,940.35,940.9,940.35,940.75,1536.0
2023-01-02 10:32:59,940.7,940.95,940.35,940.85,3830.0
2023-01-02 10:33:59,940.4,940.85,940.35,940.4,1128.0
2023-01-02 10:34:59,940.4,940.6,940.1,940.45,2190.0
2023-01-02 10:35:59,940.2,940.6,940.0,940.5,1913.0
2023-01-02 10:36:59,940.25,940.65,940.15,940.5,1232.0
2023-01-02 10:37:59,940.5,941.0,940.3,940.8,6714.0
2023-01-02 10:38:59,940.8,941.0,940.75,940.95,4771.0
2023-01-02 10:39:59,940.6,941.4,940.6,941.3,13759.0
2023-01-02 10:40:59,941.25,941.25,940.5,940.75,5878.0
2023-01-02 10:41:59,940.6,941.0,940.5,940.9,2135.0
2023-01-02 10:42:59,940.9,940.9,940.45,940.9,2015.0
2023-01-02 10:43:59,940.9,940.9,940.35,940.5,1098.0
2023-01-02 10:44:59,940.65,940.8,940.35,940.75,5172.0
2023-01-02 10:45:59,940.8,941.0,940.7,940.75,6492.0
2023-01-02 10:46:59,940.8,941.0,940.65,940.8,1109.0
2023-01-02 10:47:59,940.65,940.95,940.3,940.55,4810.0
2023-01-02 10:48:59,940.4,940.85,940.4,940.6,2366.0
2023-01-02 10:49:59,940.55,941.0,940.4,940.95,9975.0
2023-01-02 10:50:59,941.0,941.0,940.4,940.75,7681.0
2023-01-02 10:51:59,940.7,941.15,940.5,941.15,2691.0
2023-01-02 10:52:59,940.95,941.45,940.85,941.15,7701.0
2023-01-02 10:53:59,941.15,941.5,940.8,941.15,11262.0
2023-01-02 10:54:59,941.15,941.55,941.15,941.3,3149.0
2023-01-02 10:55:59,941.3,942.0,941.25,941.85,9276.0
2023-01-02 10:56:59,942.2,942.6,942.2,942.3,15256.0
2023-01-02 10:57:59,942.3,942.95,942.2,942.2,5893.0
2023-01-02 10:58:59,942.2,942.3,941.35,941.7,8980.0
2023-01-02 10:59:59,941.7,942.2,941.6,941.8,4157.0
2023-01-02 11:00:59,942.15,942.15,941.7,941.9,2576.0
2023-01-02 11:01:59,941.7,942.0,941.3,941.5,5267.0
2023-01-02 11:02:59,941.45,941.8,941.3,941.35,3185.0
2023-01-02 11:03:59,941.5,941.95,941.1,941.75,4630.0
2023-01-02 11:04:59,941.9,941.9,941.1,941.5,5345.0
2023-01-02 11:05:59,941.4,941.8,941.4,941.7,2135.0
2023-01-02 11:06:59,941.7,941.8,941.4,941.4,2804.0
2023-01-02 11:07:59,941.8,941.8,940.4,940.9,18648.0
2023-01-02 11:08:59,940.5,940.95,940.15,940.95,26337.0
2023-01-02 11:09:59,940.85,941.65,940.65,941.5,53040.0
2023-01-02 11:10:59,941.45,942.4,941.1,942.4,8946.0
2023-01-02 11:11:59,942.45,942.9,941.95,942.75,10161.0
2023-01-02 11:12:59,942.8,942.85,941.05,941.45,7817.0
2023-01-02 11:13:59,941.45,941.45,940.6,940.85,7368.0
2023-01-02 11:14:59,940.7,940.7,940.35,940.5,3374.0
2023-01-02 11:15:59,940.6,940.75,940.45,940.7,2286.0
2023-01-02 11:16:59,940.55,941.4,940.5,940.95,10873.0
2023-01-02 11:17:59,941.05,941.35,939.3,939.9,14239.0
2023-01-02 11:18:59,939.9,940.45,939.75,940.1,4961.0
2023-01-02 11:19:59,940.15,940.7,940.05,940.5,1787.0
2023-01-02 11:20:59,940.5,940.65,940.3,940.35,653.0
2023-01-02 11:21:59,940.35,940.7,940.35,940.6,4191.0
2023-01-02 11:22:59,940.4,940.7,940.0,940.15,1659.0
2023-01-02 11:23:59,940.15,940.25,939.75,939.8,4379.0
2023-01-02 11:24:59,939.8,939.8,939.45,939.7,2815.0
2023-01-02 11:25:59,939.65,940.0,939.2,939.5,7865.0
2023-01-02 11:26:59,939.5,939.9,938.8,938.85,7060.0
2023-01-02 11:27:59,938.85,939.5,938.8,939.35,3503.0
2023-01-02 11:28:59,939.5,939.75,939.15,939.75,2792.0
2023-01-02 11:29:59,939.65,940.1,939.15,939.15,5173.0
2023-01-02 11:30:59,939.0,939.65,938.85,938.85,2501.0
2023-01-02 11:31:59,938.9,939.15,938.6,938.85,2123.0
2023-01-02 11:32:59,939.0,939.1,938.6,938.6,3501.0
2023-01-02 11:33:59,938.65,938.9,938.15,938.6,33444.0
2023-01-02 11:34:59,938.5,939.0,937.95,938.55,10715.0
2023-01-02 11:35:59,938.55,939.25,938.3,938.5,5331.0
2023-01-02 11:36:59,938.75,938.85,938.45,938.75,1337.0
2023-01-02 11:37:59,938.7,939.3,938.7,939.3,8870.0
2023-01-02 11:38:59,939.3,939.45,938.95,939.0,4958.0
2023-01-02 11:39:59,939.1,939.65,939.0,939.5,1851.0
2023-01-02 11:40:59,939.5,940.25,939.2,939.9,3356.0
2023-01-02 11:41:59,940.2,940.35,939.7,940.05,1633.0
2023-01-02 11:42:59,940.05,940.05,939.25,939.9,2998.0
2023-01-02 11:43:59,939.75,940.3,939.55,940.0,989.0
2023-01-02 11:44:59,940.25,940.25,939.8,939.8,1858.0
2023-01-02 11:45:59,940.0,940.0,939.35,939.65,2378.0
2023-01-02 11:46:59,939.35,939.75,939.25,939.5,699.0
2023-01-02 11:47:59,939.25,939.7,939.15,939.35,1155.0
2023-01-02 11:48:59,939.25,939.3,939.05,939.05,2012.0
2023-01-02 11:49:59,939.3,939.5,939.0,939.05,2307.0
2023-01-02 11:50:59,939.0,939.05,938.45,938.9,5431.0
2023-01-02 11:51:59,938.95,939.1,938.05,938.1,3302.0
2023-01-02 11:52:59,938.25,938.85,938.05,938.4,5178.0
2023-01-02 11:53:59,938.4,938.9,938.35,938.45,825.0
2023-01-02 11:54:59,938.45,938.9,938.45,938.55,706.0
2023-01-02 11:55:59,938.6,938.7,938.3,938.35,2272.0
2023-01-02 11:56:59,938.6,938.6,938.3,938.6,832.0
2023-01-02 11:57:59,938.4,938.5,938.35,938.45,1862.0
2023-01-02 11:58:59,938.45,938.6,938.3,938.3,3732.0
2023-01-02 11:59:59,938.3,938.6,938.3,938.45,1404.0
2023-01-02 12:00:59,938.45,938.6,938.3,938.5,1061.0
2023-01-02 12:01:59,938.5,938.95,938.45,938.65,8213.0
2023-01-02 12:02:59,938.65,939.0,938.5,938.6,7863.0
2023-01-02 12:03:59,938.5,939.25,938.5,939.25,4860.0
2023-01-02 12:04:59,939.25,939.55,939.0,939.55,1129.0
2023-01-02 12:05:59,939.35,939.9,939.35,939.65,3743.0
2023-01-02 12:06:59,939.5,939.6,938.8,939.3,5388.0
2023-01-02 12:07:59,939.25,939.8,938.95,939.5,12246.0
2023-01-02 12:08:59,939.5,939.5,938.55,938.7,3532.0
2023-01-02 12:09:59,938.6,939.35,938.5,938.6,2282.0
2023-01-02 12:10:59,938.95,939.0,938.6,938.95,835.0
2023-01-02 12:11:59,938.95,939.1,938.7,939.0,1336.0
2023-01-02 12:12:59,939.1,939.1,939.0,939.0,2007.0
2023-01-02 12:13:59,939.05,939.05,938.8,938.8,5223.0
2023-01-02 12:14:59,938.8,939.0,938.8,938.9,797.0
2023-01-02 12:15:59,938.95,939.0,938.85,938.85,2349.0
2023-01-02 12:16:59,938.85,939.05,938.85,939.05,1694.0
2023-01-02 12:17:59,938.95,939.05,938.95,939.0,1815.0
2023-01-02 12:18:59,939.05,939.05,938.85,939.0,874.0
2023-01-02 12:19:59,938.9,939.0,938.8,939.0,1569.0
2023-01-02 12:20:59,939.0,939.0,938.8,939.0,1555.0
2023-01-02 12:21:59,938.9,939.0,938.65,938.85,1936.0
