datetime,BANKBARODA_open,BANKBARODA_high,BANKBARODA_low,BANKBARODA_close,BANKBARODA_volume
2023-01-02 09:15:59,186.6,186.9,186.0,186.6,234951.0
2023-01-02 09:16:59,186.7,186.85,186.4,186.6,128719.0
2023-01-02 09:17:59,186.6,186.65,185.9,186.05,141588.0
2023-01-02 09:18:59,186.05,186.05,185.65,185.85,101001.0
2023-01-02 09:19:59,185.9,186.25,185.6,185.65,194037.0
2023-01-02 09:20:59,185.75,186.45,185.1,186.0,517739.0
2023-01-02 09:21:59,186.05,186.15,185.25,185.4,167374.0
2023-01-02 09:22:59,185.5,186.05,185.4,186.0,97037.0
2023-01-02 09:23:59,186.05,186.4,185.6,186.4,138702.0
2023-01-02 09:24:59,186.4,186.75,186.3,186.3,134458.0
2023-01-02 09:25:59,186.4,186.45,185.9,186.1,120514.0
2023-01-02 09:26:59,186.1,186.2,185.75,185.75,45656.0
2023-01-02 09:27:59,185.85,186.0,185.75,185.9,37686.0
2023-01-02 09:28:59,185.95,186.15,185.8,185.8,42997.0
2023-01-02 09:29:59,185.75,185.95,185.55,185.75,91665.0
2023-01-02 09:30:59,185.65,185.9,185.5,185.5,43685.0
2023-01-02 09:31:59,185.5,185.7,185.25,185.6,71785.0
2023-01-02 09:32:59,185.7,185.75,185.4,185.65,52467.0
2023-01-02 09:33:59,185.7,186.45,185.6,186.25,108934.0
2023-01-02 09:34:59,186.2,186.75,186.15,186.65,165199.0
2023-01-02 09:35:59,186.65,186.65,186.2,186.4,195964.0
2023-01-02 09:36:59,186.4,187.1,186.35,187.1,153666.0
2023-01-02 09:37:59,187.0,187.1,186.85,186.85,132124.0
2023-01-02 09:38:59,186.85,187.0,186.55,186.8,130049.0
2023-01-02 09:39:59,186.9,187.3,186.8,187.25,157967.0
2023-01-02 09:40:59,187.15,187.2,186.55,186.7,84680.0
2023-01-02 09:41:59,186.8,186.95,186.6,186.85,52809.0
2023-01-02 09:42:59,186.85,187.0,186.75,186.95,35071.0
2023-01-02 09:43:59,186.95,187.0,186.7,186.8,68850.0
2023-01-02 09:44:59,186.8,187.15,186.8,187.05,47071.0
2023-01-02 09:45:59,187.05,187.4,186.95,187.2,77744.0
2023-01-02 09:46:59,187.05,187.3,186.95,187.3,48617.0
2023-01-02 09:47:59,187.2,187.4,187.15,187.35,45300.0
2023-01-02 09:48:59,187.3,187.4,187.0,187.0,39930.0
2023-01-02 09:49:59,187.15,187.15,186.9,187.1,54543.0
2023-01-02 09:50:59,187.05,187.3,187.05,187.15,55400.0
2023-01-02 09:51:59,187.15,187.2,186.9,186.9,47423.0
2023-01-02 09:52:59,186.9,186.95,186.75,186.8,61087.0
2023-01-02 09:53:59,186.8,186.9,186.75,186.9,30146.0
2023-01-02 09:54:59,187.0,187.1,186.9,187.05,30636.0
2023-01-02 09:55:59,187.05,187.45,187.0,187.35,92314.0
2023-01-02 09:56:59,187.5,187.7,187.35,187.65,137346.0
2023-01-02 09:57:59,187.55,187.75,187.4,187.5,74127.0
2023-01-02 09:58:59,187.5,187.6,187.25,187.5,57114.0
2023-01-02 09:59:59,187.6,187.6,187.4,187.4,36624.0
2023-01-02 10:00:59,187.5,187.5,187.4,187.4,20636.0
2023-01-02 10:01:59,187.4,187.6,187.4,187.5,69433.0
2023-01-02 10:02:59,187.55,187.55,187.15,187.2,95540.0
2023-01-02 10:03:59,187.2,187.65,187.2,187.55,57878.0
2023-01-02 10:04:59,187.55,187.65,187.5,187.6,71893.0
2023-01-02 10:05:59,187.6,187.65,187.4,187.4,21903.0
2023-01-02 10:06:59,187.4,187.45,187.3,187.3,15524.0
2023-01-02 10:07:59,187.35,187.4,187.2,187.2,20128.0
2023-01-02 10:08:59,187.2,187.35,187.15,187.15,44230.0
2023-01-02 10:09:59,187.15,187.2,186.95,187.15,55468.0
2023-01-02 10:10:59,187.1,187.15,186.9,186.9,29357.0
2023-01-02 10:11:59,186.95,187.0,186.85,186.95,32202.0
2023-01-02 10:12:59,187.0,187.0,186.7,186.8,76953.0
2023-01-02 10:13:59,186.8,187.1,186.7,187.1,74862.0
2023-01-02 10:14:59,187.05,187.3,186.9,186.9,65971.0
2023-01-02 10:15:59,186.8,187.1,186.8,186.9,20218.0
2023-01-02 10:16:59,186.9,187.0,186.7,186.95,88767.0
2023-01-02 10:17:59,186.85,187.0,186.8,186.85,9013.0
2023-01-02 10:18:59,187.0,187.0,186.85,187.0,8706.0
2023-01-02 10:19:59,186.9,187.0,186.5,186.55,101823.0
2023-01-02 10:20:59,186.6,186.75,186.4,186.45,120148.0
2023-01-02 10:21:59,186.45,186.5,186.4,186.5,36507.0
2023-01-02 10:22:59,186.45,186.6,186.45,186.5,47021.0
2023-01-02 10:23:59,186.5,186.55,186.25,186.35,144717.0
2023-01-02 10:24:59,186.35,186.4,186.15,186.2,36933.0
2023-01-02 10:25:59,186.2,186.6,186.2,186.55,37471.0
2023-01-02 10:26:59,186.5,186.85,186.45,186.75,28723.0
2023-01-02 10:27:59,186.75,187.05,186.7,187.0,66947.0
2023-01-02 10:28:59,186.95,186.95,186.65,186.65,50559.0
2023-01-02 10:29:59,186.65,186.75,186.45,186.65,15532.0
2023-01-02 10:30:59,186.65,186.95,186.65,186.95,10313.0
2023-01-02 10:31:59,186.75,186.95,186.75,186.8,16560.0
2023-01-02 10:32:59,186.85,186.85,186.65,186.75,18403.0
2023-01-02 10:33:59,186.65,186.8,186.65,186.65,12223.0
2023-01-02 10:34:59,186.65,186.75,186.6,186.65,18149.0
2023-01-02 10:35:59,186.65,186.75,186.6,186.7,7023.0
2023-01-02 10:36:59,186.7,186.95,186.7,186.8,12530.0
2023-01-02 10:37:59,186.85,187.0,186.85,186.9,18832.0
2023-01-02 10:38:59,186.9,187.0,186.9,186.95,63248.0
2023-01-02 10:39:59,186.95,187.2,186.95,186.95,55887.0
2023-01-02 10:40:59,187.05,187.05,186.7,186.7,35885.0
2023-01-02 10:41:59,186.75,186.75,186.55,186.7,28383.0
2023-01-02 10:42:59,186.7,186.95,186.7,186.9,13330.0
2023-01-02 10:43:59,186.9,186.9,186.7,186.7,16687.0
2023-01-02 10:44:59,186.8,186.85,186.7,186.8,9793.0
2023-01-02 10:45:59,186.75,186.8,186.7,186.8,15658.0
2023-01-02 10:46:59,186.8,186.8,186.65,186.8,6648.0
2023-01-02 10:47:59,186.8,186.8,186.55,186.6,41429.0
2023-01-02 10:48:59,186.7,186.75,186.6,186.7,14770.0
2023-01-02 10:49:59,186.7,186.9,186.7,186.8,17424.0
2023-01-02 10:50:59,186.8,186.9,186.65,186.7,18814.0
2023-01-02 10:51:59,186.65,186.9,186.65,186.9,12398.0
2023-01-02 10:52:59,186.8,186.9,186.75,186.75,8782.0
2023-01-02 10:53:59,186.8,186.85,186.7,186.75,5807.0
2023-01-02 10:54:59,186.8,187.0,186.75,186.95,33487.0
2023-01-02 10:55:59,187.0,187.05,186.95,187.05,37391.0
2023-01-02 10:56:59,187.0,187.1,187.0,187.0,14904.0
2023-01-02 10:57:59,187.1,187.2,187.0,187.0,45702.0
2023-01-02 10:58:59,187.0,187.0,186.85,187.0,15804.0
2023-01-02 10:59:59,186.95,187.0,186.9,187.0,19803.0
2023-01-02 11:00:59,187.0,187.05,186.9,186.95,19891.0
2023-01-02 11:01:59,186.95,187.05,186.9,187.0,8113.0
2023-01-02 11:02:59,186.9,187.0,186.9,187.0,10418.0
2023-01-02 11:03:59,186.9,187.0,186.9,187.0,26015.0
2023-01-02 11:04:59,187.0,187.0,186.85,186.9,20394.0
2023-01-02 11:05:59,186.9,186.9,186.75,186.8,13117.0
2023-01-02 11:06:59,186.8,186.9,186.75,186.8,10738.0
2023-01-02 11:07:59,186.8,186.85,186.6,186.65,40062.0
2023-01-02 11:08:59,186.6,187.2,186.6,187.15,148238.0
2023-01-02 11:09:59,187.1,187.3,187.1,187.3,85224.0
2023-01-02 11:10:59,187.3,187.45,187.2,187.45,109984.0
2023-01-02 11:11:59,187.4,187.45,187.25,187.25,24983.0
2023-01-02 11:12:59,187.25,187.25,187.0,187.05,13596.0
2023-01-02 11:13:59,187.05,187.1,186.9,186.95,23981.0
2023-01-02 11:14:59,186.95,187.0,186.9,186.95,8492.0
2023-01-02 11:15:59,186.95,187.0,186.9,186.9,9751.0
2023-01-02 11:16:59,186.9,186.95,186.85,186.9,29451.0
2023-01-02 11:17:59,186.9,186.9,186.85,186.9,10481.0
2023-01-02 11:18:59,186.85,186.95,186.85,186.95,10472.0
2023-01-02 11:19:59,186.85,187.0,186.85,187.0,9788.0
2023-01-02 11:20:59,186.9,187.0,186.75,186.8,42814.0
2023-01-02 11:21:59,186.75,186.85,186.7,186.75,10897.0
2023-01-02 11:22:59,186.75,186.8,186.55,186.7,40646.0
2023-01-02 11:23:59,186.7,186.7,186.5,186.6,36874.0
2023-01-02 11:24:59,186.55,186.55,186.4,186.4,120272.0
2023-01-02 11:25:59,186.4,186.6,186.3,186.5,26934.0
2023-01-02 11:26:59,186.5,186.6,186.4,186.4,52362.0
2023-01-02 11:27:59,186.4,186.7,186.4,186.65,14898.0
2023-01-02 11:28:59,186.65,186.9,186.6,186.85,11087.0
2023-01-02 11:29:59,186.9,186.9,186.7,186.7,17642.0
2023-01-02 11:30:59,186.75,186.9,186.7,186.85,26013.0
2023-01-02 11:31:59,186.8,186.9,186.75,186.9,33155.0
2023-01-02 11:32:59,186.9,186.9,186.7,186.8,9267.0
2023-01-02 11:33:59,186.8,186.85,186.7,186.85,9995.0
2023-01-02 11:34:59,186.85,186.9,186.75,186.9,32331.0
2023-01-02 11:35:59,186.9,187.05,186.8,187.0,82637.0
2023-01-02 11:36:59,187.0,187.0,186.9,186.9,8913.0
2023-01-02 11:37:59,186.85,187.0,186.85,187.0,8121.0
2023-01-02 11:38:59,186.9,187.0,186.8,186.8,23757.0
2023-01-02 11:39:59,186.8,186.85,186.75,186.85,5691.0
2023-01-02 11:40:59,186.75,186.9,186.75,186.9,14799.0
2023-01-02 11:41:59,186.85,186.95,186.8,186.85,6301.0
2023-01-02 11:42:59,186.85,186.95,186.8,186.85,8405.0
2023-01-02 11:43:59,186.85,187.1,186.85,187.1,46884.0
2023-01-02 11:44:59,187.1,187.1,187.0,187.0,7992.0
2023-01-02 11:45:59,187.0,187.1,186.95,187.0,27588.0
2023-01-02 11:46:59,186.9,187.0,186.9,186.9,7671.0
