datetime,HDFCLIFE_open,HDFCLIFE_high,HDFCLIFE_low,HDFCLIFE_close,HDFCLIFE_volume
2023-01-02 09:15:59,565.0,567.85,563.55,564.2,22545.0
2023-01-02 09:16:59,564.25,565.1,564.2,565.1,9509.0
2023-01-02 09:17:59,564.75,565.3,564.4,565.2,14030.0
2023-01-02 09:18:59,564.95,565.0,564.0,564.0,9079.0
2023-01-02 09:19:59,564.0,564.65,564.0,564.2,4620.0
2023-01-02 09:20:59,564.25,564.7,562.55,562.9,25753.0
2023-01-02 09:21:59,562.9,563.35,562.85,563.05,8992.0
2023-01-02 09:22:59,563.1,563.1,562.9,563.0,5078.0
2023-01-02 09:23:59,563.1,563.45,562.9,563.45,3285.0
2023-01-02 09:24:59,563.45,563.9,563.3,563.3,7867.0
2023-01-02 09:25:59,563.3,563.45,563.15,563.35,4327.0
2023-01-02 09:26:59,563.4,563.55,563.25,563.45,6584.0
2023-01-02 09:27:59,563.4,563.55,563.25,563.35,1971.0
2023-01-02 09:28:59,563.25,563.6,563.1,563.2,2100.0
2023-01-02 09:29:59,563.25,563.25,563.1,563.25,2619.0
2023-01-02 09:30:59,563.25,563.7,562.25,562.55,7237.0
2023-01-02 09:31:59,562.2,562.2,561.8,562.05,6107.0
2023-01-02 09:32:59,562.05,562.05,561.25,561.4,6015.0
2023-01-02 09:33:59,561.5,562.4,561.5,562.0,3904.0
2023-01-02 09:34:59,562.25,563.25,562.25,562.7,2952.0
2023-01-02 09:35:59,562.45,563.0,562.2,563.0,1141.0
2023-01-02 09:36:59,563.0,563.25,562.7,563.05,1653.0
2023-01-02 09:37:59,563.2,563.95,563.05,563.5,2175.0
2023-01-02 09:38:59,563.85,564.2,563.55,563.9,2274.0
2023-01-02 09:39:59,564.1,564.35,564.1,564.3,1709.0
2023-01-02 09:40:59,564.45,564.5,564.2,564.2,2806.0
2023-01-02 09:41:59,564.35,564.35,564.0,564.2,710.0
2023-01-02 09:42:59,564.3,564.4,563.9,564.0,1800.0
2023-01-02 09:43:59,564.1,564.25,563.55,563.95,982.0
2023-01-02 09:44:59,563.95,564.65,563.95,564.65,1449.0
2023-01-02 09:45:59,564.55,564.65,564.35,564.35,1886.0
2023-01-02 09:46:59,564.35,564.35,563.65,563.95,1352.0
2023-01-02 09:47:59,564.05,564.45,564.05,564.2,922.0
