datetime,ICICIBANK_open,ICICIBANK_high,ICICIBANK_low,ICICIBANK_close,ICICIBANK_volume
2023-01-02 09:15:59,894.0,897.95,894.0,896.2,52910.0
2023-01-02 09:16:59,896.8,897.9,896.4,896.45,36713.0
2023-01-02 09:17:59,896.75,897.6,895.55,895.85,31853.0
2023-01-02 09:18:59,895.7,896.9,895.1,895.5,26575.0
2023-01-02 09:19:59,895.5,896.15,895.05,895.2,14563.0
2023-01-02 09:20:59,895.3,895.95,894.1,895.25,38789.0
2023-01-02 09:21:59,895.3,895.45,894.55,895.0,15294.0
2023-01-02 09:22:59,895.15,895.15,894.7,895.0,7802.0
2023-01-02 09:23:59,895.0,895.5,894.5,895.5,19528.0
2023-01-02 09:24:59,895.5,897.6,895.0,896.35,45005.0
2023-01-02 09:25:59,896.45,897.75,896.4,897.45,21540.0
2023-01-02 09:26:59,897.75,897.8,896.5,896.5,19623.0
2023-01-02 09:27:59,896.4,896.8,895.85,896.5,16031.0
2023-01-02 09:28:59,896.4,896.5,895.25,895.6,17355.0
2023-01-02 09:29:59,895.65,896.0,895.2,895.65,9268.0
2023-01-02 09:30:59,895.7,896.35,895.3,895.3,20035.0
2023-01-02 09:31:59,895.4,896.4,895.3,896.2,15644.0
2023-01-02 09:32:59,896.2,896.8,895.8,896.7,14626.0
2023-01-02 09:33:59,896.7,900.0,896.6,899.8,61939.0
2023-01-02 09:34:59,899.8,900.9,898.8,900.6,138413.0
2023-01-02 09:35:59,900.5,900.75,900.0,900.7,24610.0
2023-01-02 09:36:59,900.5,901.25,900.25,901.15,15780.0
2023-01-02 09:37:59,901.15,901.4,901.1,901.1,12220.0
2023-01-02 09:38:59,901.05,902.5,901.0,902.0,35189.0
2023-01-02 09:39:59,902.0,902.5,901.8,902.15,18500.0
2023-01-02 09:40:59,902.3,902.85,901.35,901.6,25125.0
2023-01-02 09:41:59,901.8,902.3,901.5,902.0,9293.0
2023-01-02 09:42:59,902.05,902.2,901.65,902.2,9353.0
2023-01-02 09:43:59,902.2,902.2,901.5,902.1,18031.0
2023-01-02 09:44:59,902.1,903.35,902.0,903.35,34950.0
2023-01-02 09:45:59,903.4,903.5,902.6,902.6,16981.0
2023-01-02 09:46:59,902.6,903.0,902.3,903.0,9392.0
2023-01-02 09:47:59,902.85,903.5,902.7,903.25,10376.0
2023-01-02 09:48:59,903.0,904.0,903.0,903.25,14826.0
2023-01-02 09:49:59,903.25,903.25,902.7,902.8,13342.0
2023-01-02 09:50:59,902.95,903.0,902.55,902.6,5507.0
2023-01-02 09:51:59,902.6,903.0,902.6,902.85,6975.0
2023-01-02 09:52:59,902.85,902.9,902.2,902.5,7476.0
2023-01-02 09:53:59,902.25,902.6,902.0,902.35,35813.0
2023-01-02 09:54:59,902.3,902.95,902.3,902.6,7672.0
2023-01-02 09:55:59,902.75,903.65,902.6,903.55,16090.0
2023-01-02 09:56:59,903.55,903.75,903.0,903.05,8366.0
2023-01-02 09:57:59,903.25,903.25,902.4,902.4,9267.0
2023-01-02 09:58:59,902.5,903.0,902.5,902.65,4479.0
2023-01-02 09:59:59,902.65,903.05,902.6,902.9,5496.0
2023-01-02 10:00:59,902.65,903.4,902.55,902.95,5967.0
2023-01-02 10:01:59,902.6,903.5,902.6,903.0,6781.0
2023-01-02 10:02:59,903.0,903.5,902.8,903.5,5511.0
2023-01-02 10:03:59,903.5,903.6,903.1,903.15,12402.0
2023-01-02 10:04:59,903.15,903.8,903.0,903.8,10349.0
2023-01-02 10:05:59,903.75,905.0,903.75,904.5,46573.0
2023-01-02 10:06:59,904.6,905.0,904.5,904.8,16648.0
2023-01-02 10:07:59,904.8,904.8,904.3,904.8,11492.0
2023-01-02 10:08:59,904.35,904.6,903.6,903.7,11776.0
2023-01-02 10:09:59,903.75,904.5,903.55,904.25,12438.0
2023-01-02 10:10:59,904.1,904.5,903.7,903.7,5896.0
2023-01-02 10:11:59,903.95,904.0,903.7,903.9,4276.0
2023-01-02 10:12:59,904.0,904.0,903.7,903.8,2575.0
2023-01-02 10:13:59,903.95,904.0,903.55,903.6,4728.0
2023-01-02 10:14:59,903.65,903.7,903.25,903.3,5568.0
2023-01-02 10:15:59,903.25,903.7,903.2,903.25,6164.0
2023-01-02 10:16:59,903.25,903.5,903.0,903.0,18010.0
2023-01-02 10:17:59,903.05,903.4,903.0,903.05,11747.0
2023-01-02 10:18:59,903.35,903.5,903.05,903.3,5655.0
2023-01-02 10:19:59,903.3,903.9,903.15,903.7,3465.0
2023-01-02 10:20:59,903.55,904.0,903.55,903.6,16397.0
2023-01-02 10:21:59,903.6,904.0,903.6,903.95,4165.0
2023-01-02 10:22:59,903.95,904.0,903.6,903.8,4878.0
2023-01-02 10:23:59,903.8,903.95,903.4,903.4,3508.0
2023-01-02 10:24:59,903.4,903.6,903.1,903.1,5576.0
2023-01-02 10:25:59,903.1,903.65,903.0,903.2,16301.0
2023-01-02 10:26:59,903.15,903.2,903.0,903.2,12429.0
2023-01-02 10:27:59,903.15,903.2,903.05,903.15,2953.0
2023-01-02 10:28:59,903.1,903.2,902.75,903.05,36426.0
2023-01-02 10:29:59,903.1,903.1,902.6,902.7,6905.0
2023-01-02 10:30:59,902.65,903.0,902.6,903.0,3470.0
2023-01-02 10:31:59,902.65,903.2,902.65,903.1,9571.0
2023-01-02 10:32:59,903.2,903.4,903.1,903.2,15089.0
2023-01-02 10:33:59,903.25,903.5,903.2,903.3,2251.0
2023-01-02 10:34:59,903.25,903.5,903.2,903.35,1471.0
2023-01-02 10:35:59,903.45,903.5,903.35,903.5,1712.0
2023-01-02 10:36:59,903.5,903.75,903.35,903.6,4157.0
2023-01-02 10:37:59,903.75,904.95,903.75,904.95,38116.0
2023-01-02 10:38:59,905.4,905.6,904.85,904.85,23779.0
2023-01-02 10:39:59,904.9,905.9,904.65,905.0,27852.0
2023-01-02 10:40:59,904.9,905.25,904.6,905.05,18416.0
2023-01-02 10:41:59,905.05,905.15,905.0,905.0,16081.0
2023-01-02 10:42:59,905.0,905.2,905.0,905.05,9769.0
2023-01-02 10:43:59,905.05,905.15,905.0,905.0,5617.0
2023-01-02 10:44:59,905.1,905.1,905.0,905.0,19779.0
2023-01-02 10:45:59,905.0,905.25,905.0,905.1,5301.0
2023-01-02 10:46:59,905.15,905.25,905.0,905.05,11318.0
2023-01-02 10:47:59,905.0,905.1,904.8,904.8,45217.0
2023-01-02 10:48:59,904.85,904.85,904.15,904.15,11780.0
2023-01-02 10:49:59,904.15,904.45,904.1,904.2,4642.0
2023-01-02 10:50:59,904.15,904.3,903.65,903.75,5551.0
2023-01-02 10:51:59,903.7,904.3,903.7,904.3,8480.0
2023-01-02 10:52:59,904.3,904.6,904.1,904.4,2457.0
2023-01-02 10:53:59,904.4,904.7,904.2,904.6,1655.0
2023-01-02 10:54:59,904.6,904.7,904.2,904.5,1586.0
2023-01-02 10:55:59,904.5,904.8,904.1,904.45,9770.0
2023-01-02 10:56:59,904.5,904.85,904.35,904.8,3295.0
2023-01-02 10:57:59,904.55,904.9,904.4,904.65,2034.0
2023-01-02 10:58:59,904.4,904.65,904.05,904.1,1964.0
2023-01-02 10:59:59,904.05,904.5,904.05,904.3,2012.0
2023-01-02 11:00:59,904.3,904.5,904.1,904.35,2188.0
2023-01-02 11:01:59,904.5,904.5,904.1,904.1,2575.0
2023-01-02 11:02:59,904.2,904.5,904.1,904.5,3259.0
2023-01-02 11:03:59,904.2,904.55,904.2,904.4,1207.0
2023-01-02 11:04:59,904.4,904.55,904.25,904.4,3294.0
2023-01-02 11:05:59,904.45,904.8,904.4,904.8,5805.0
2023-01-02 11:06:59,904.65,904.9,904.65,904.85,3414.0
2023-01-02 11:07:59,904.85,904.9,904.5,904.7,1734.0
2023-01-02 11:08:59,904.7,905.25,904.45,904.95,24425.0
2023-01-02 11:09:59,905.2,907.0,904.95,906.25,77949.0
2023-01-02 11:10:59,906.15,906.8,906.1,906.55,24339.0
2023-01-02 11:11:59,906.55,906.65,906.3,906.4,13876.0
2023-01-02 11:12:59,906.5,906.5,905.55,905.75,18180.0
