datetime,ICICIPRULI_open,ICICIPRULI_high,ICICIPRULI_low,ICICIPRULI_close,ICICIPRULI_volume
2023-01-02 09:15:59,451.3,453.55,450.0,450.45,7176.0
2023-01-02 09:16:59,450.4,450.4,448.0,448.0,7925.0
2023-01-02 09:17:59,448.3,448.3,446.5,447.15,18845.0
2023-01-02 09:18:59,447.25,447.25,445.95,446.35,14945.0
2023-01-02 09:19:59,446.35,446.7,446.1,446.1,5136.0
2023-01-02 09:20:59,446.15,446.45,444.8,445.9,23586.0
2023-01-02 09:21:59,445.5,446.4,445.5,446.3,5981.0
2023-01-02 09:22:59,446.3,447.0,446.3,447.0,7312.0
2023-01-02 09:23:59,447.0,447.0,446.75,446.95,2109.0
2023-01-02 09:24:59,446.95,448.15,446.95,447.95,10924.0
2023-01-02 09:25:59,447.95,448.0,446.65,447.0,15222.0
2023-01-02 09:26:59,447.0,447.2,446.8,447.2,2228.0
2023-01-02 09:27:59,447.2,447.2,445.6,446.0,4565.0
2023-01-02 09:28:59,446.0,446.65,445.9,446.4,1555.0
2023-01-02 09:29:59,446.4,446.6,446.0,446.6,1218.0
2023-01-02 09:30:59,446.6,446.8,446.3,446.4,2603.0
2023-01-02 09:31:59,446.4,447.0,446.25,446.85,1027.0
2023-01-02 09:32:59,447.0,447.0,446.4,446.4,622.0
2023-01-02 09:33:59,446.4,447.3,446.25,447.3,1516.0
2023-01-02 09:34:59,447.3,447.55,447.0,447.55,1975.0
2023-01-02 09:35:59,447.25,447.5,447.05,447.25,1175.0
2023-01-02 09:36:59,447.25,447.6,447.25,447.55,672.0
2023-01-02 09:37:59,447.9,447.9,447.7,447.85,600.0
2023-01-02 09:38:59,447.75,448.45,447.75,448.1,2772.0
2023-01-02 09:39:59,448.35,448.5,448.0,448.35,1794.0
2023-01-02 09:40:59,448.55,448.95,448.25,448.25,2253.0
2023-01-02 09:41:59,448.25,448.5,446.8,448.1,13030.0
2023-01-02 09:42:59,448.1,448.4,448.0,448.0,800.0
2023-01-02 09:43:59,448.25,448.3,448.0,448.05,582.0
2023-01-02 09:44:59,448.05,448.15,448.0,448.0,1138.0
2023-01-02 09:45:59,448.0,448.3,447.65,447.65,2306.0
2023-01-02 09:46:59,447.65,447.7,447.1,447.5,293.0
2023-01-02 09:47:59,447.5,447.7,447.2,447.6,1214.0
2023-01-02 09:48:59,447.45,447.95,447.45,447.65,1267.0
2023-01-02 09:49:59,447.65,448.0,447.65,447.85,522.0
2023-01-02 09:50:59,447.85,448.35,447.85,448.2,4005.0
2023-01-02 09:51:59,448.2,448.25,448.05,448.25,237.0
2023-01-02 09:52:59,448.0,448.2,448.0,448.1,585.0
2023-01-02 09:53:59,448.1,448.1,448.0,448.1,799.0
2023-01-02 09:54:59,448.15,448.35,448.05,448.35,2101.0
2023-01-02 09:55:59,448.3,448.45,448.3,448.45,2870.0
2023-01-02 09:56:59,448.45,448.45,448.05,448.05,470.0
2023-01-02 09:57:59,448.25,448.4,448.0,448.05,1604.0
2023-01-02 09:58:59,448.05,448.25,447.7,448.0,2273.0
2023-01-02 09:59:59,448.0,448.15,447.7,448.15,600.0
2023-01-02 10:00:59,447.95,447.95,447.8,447.8,357.0
2023-01-02 10:01:59,447.8,447.95,447.7,447.95,532.0
2023-01-02 10:02:59,447.95,447.95,447.8,447.95,2624.0
2023-01-02 10:03:59,447.95,447.95,447.6,447.75,462.0
2023-01-02 10:04:59,447.7,447.95,447.7,447.85,559.0
2023-01-02 10:05:59,447.85,448.0,447.8,448.0,579.0
2023-01-02 10:06:59,448.0,448.15,447.9,448.15,389.0
2023-01-02 10:07:59,447.95,448.4,447.95,448.25,945.0
2023-01-02 10:08:59,448.25,448.4,448.0,448.05,581.0
2023-01-02 10:09:59,448.0,448.2,448.0,448.15,177.0
2023-01-02 10:10:59,448.15,448.4,448.15,448.4,343.0
2023-01-02 10:11:59,448.4,448.4,448.2,448.4,398.0
2023-01-02 10:12:59,448.4,448.45,448.35,448.4,3286.0
2023-01-02 10:13:59,448.65,448.7,448.4,448.4,960.0
2023-01-02 10:14:59,448.65,448.9,448.6,448.9,1679.0
2023-01-02 10:15:59,448.6,448.9,448.6,448.8,418.0
2023-01-02 10:16:59,448.8,448.9,448.5,448.9,58972.0
2023-01-02 10:17:59,448.9,449.45,448.9,449.4,1943.0
2023-01-02 10:18:59,449.7,449.7,449.0,449.0,47943.0
2023-01-02 10:19:59,449.0,449.0,448.7,448.95,621.0
2023-01-02 10:20:59,449.0,449.3,448.95,449.0,287.0
2023-01-02 10:21:59,449.0,449.3,448.8,448.8,613.0
2023-01-02 10:22:59,449.05,449.2,449.05,449.15,180.0
2023-01-02 10:23:59,449.15,449.2,449.15,449.15,221.0
2023-01-02 10:24:59,449.15,449.2,449.0,449.0,186.0
2023-01-02 10:25:59,448.8,448.9,448.6,448.65,525.0
2023-01-02 10:26:59,448.65,449.0,448.65,449.0,180.0
2023-01-02 10:27:59,449.0,449.0,448.7,448.8,151.0
2023-01-02 10:28:59,448.8,448.8,448.75,448.75,228.0
2023-01-02 10:29:59,448.75,448.85,448.7,448.85,237.0
2023-01-02 10:30:59,448.8,448.85,448.7,448.75,269.0
2023-01-02 10:31:59,448.7,448.85,448.7,448.7,329.0
2023-01-02 10:32:59,448.7,448.85,448.6,448.85,821.0
