datetime,PNB_open,PNB_high,PNB_low,PNB_close,PNB_volume
2023-01-02 09:15:59,56.8,56.9,56.65,56.85,1415028.0
2023-01-02 09:16:59,56.85,56.95,56.8,56.8,864590.0
2023-01-02 09:17:59,56.8,56.85,56.6,56.7,830955.0
2023-01-02 09:18:59,56.65,56.65,56.55,56.65,495148.0
2023-01-02 09:19:59,56.65,56.7,56.45,56.55,813686.0
2023-01-02 09:20:59,56.55,56.7,56.45,56.55,680789.0
2023-01-02 09:21:59,56.65,56.65,56.35,56.4,841001.0
2023-01-02 09:22:59,56.4,56.55,56.4,56.5,280495.0
2023-01-02 09:23:59,56.55,56.65,56.4,56.65,496001.0
2023-01-02 09:24:59,56.65,56.85,56.6,56.8,1074608.0
2023-01-02 09:25:59,56.8,56.8,56.6,56.7,387394.0
2023-01-02 09:26:59,56.7,56.7,56.6,56.65,330813.0
2023-01-02 09:27:59,56.6,56.7,56.55,56.7,319229.0
2023-01-02 09:28:59,56.65,56.75,56.6,56.6,265150.0
2023-01-02 09:29:59,56.6,56.6,56.5,56.6,599335.0
2023-01-02 09:30:59,56.55,56.6,56.5,56.5,81048.0
2023-01-02 09:31:59,56.55,56.55,56.4,56.55,666807.0
2023-01-02 09:32:59,56.5,56.6,56.45,56.6,374884.0
2023-01-02 09:33:59,56.6,56.9,56.6,56.85,874264.0
2023-01-02 09:34:59,56.85,56.95,56.85,56.9,695745.0
2023-01-02 09:35:59,56.9,56.95,56.85,56.9,434131.0
2023-01-02 09:36:59,57.0,57.1,56.9,57.05,926969.0
2023-01-02 09:37:59,57.1,57.15,57.05,57.1,629984.0
2023-01-02 09:38:59,57.05,57.15,57.0,57.1,588051.0
2023-01-02 09:39:59,57.05,57.2,57.05,57.15,440195.0
2023-01-02 09:40:59,57.15,57.15,56.85,56.9,922590.0
2023-01-02 09:41:59,56.85,57.0,56.85,57.0,291600.0
2023-01-02 09:42:59,56.95,57.05,56.95,57.05,271941.0
2023-01-02 09:43:59,57.1,57.1,57.05,57.05,256874.0
2023-01-02 09:44:59,57.05,57.2,57.05,57.1,363717.0
2023-01-02 09:45:59,57.15,57.25,57.1,57.25,659930.0
2023-01-02 09:46:59,57.2,57.3,57.1,57.3,623409.0
2023-01-02 09:47:59,57.3,57.45,57.3,57.4,619458.0
2023-01-02 09:48:59,57.4,57.4,57.25,57.3,414185.0
2023-01-02 09:49:59,57.3,57.35,57.25,57.3,200784.0
2023-01-02 09:50:59,57.35,57.45,57.3,57.4,510675.0
2023-01-02 09:51:59,57.45,57.45,57.3,57.4,733898.0
2023-01-02 09:52:59,57.4,57.4,57.3,57.3,248360.0
2023-01-02 09:53:59,57.4,57.5,57.3,57.45,542478.0
2023-01-02 09:54:59,57.5,57.55,57.45,57.45,692158.0
2023-01-02 09:55:59,57.45,57.6,57.45,57.6,574158.0
2023-01-02 09:56:59,57.55,57.6,57.5,57.5,512694.0
2023-01-02 09:57:59,57.5,57.55,57.45,57.45,383132.0
2023-01-02 09:58:59,57.5,57.5,57.4,57.45,390253.0
2023-01-02 09:59:59,57.45,57.5,57.4,57.45,130147.0
2023-01-02 10:00:59,57.5,57.55,57.4,57.55,501703.0
2023-01-02 10:01:59,57.45,57.55,57.45,57.5,281929.0
2023-01-02 10:02:59,57.55,57.55,57.45,57.5,338019.0
2023-01-02 10:03:59,57.45,57.5,57.4,57.5,353962.0
2023-01-02 10:04:59,57.55,57.55,57.45,57.45,164243.0
2023-01-02 10:05:59,57.45,57.5,57.35,57.35,427931.0
2023-01-02 10:06:59,57.35,57.4,57.3,57.35,571002.0
2023-01-02 10:07:59,57.25,57.3,57.15,57.15,423575.0
2023-01-02 10:08:59,57.15,57.2,57.1,57.1,509613.0
2023-01-02 10:09:59,57.15,57.2,57.1,57.2,465195.0
2023-01-02 10:10:59,57.2,57.2,57.1,57.15,279876.0
2023-01-02 10:11:59,57.15,57.15,57.1,57.1,159204.0
2023-01-02 10:12:59,57.15,57.15,57.1,57.15,93288.0
2023-01-02 10:13:59,57.15,57.15,57.05,57.1,662532.0
2023-01-02 10:14:59,57.1,57.15,57.1,57.15,159108.0
2023-01-02 10:15:59,57.05,57.15,57.05,57.1,289174.0
2023-01-02 10:16:59,57.05,57.1,56.95,57.05,856232.0
2023-01-02 10:17:59,57.05,57.1,57.0,57.05,123788.0
2023-01-02 10:18:59,57.1,57.2,57.1,57.15,200496.0
2023-01-02 10:19:59,57.15,57.2,57.15,57.2,113896.0
2023-01-02 10:20:59,57.2,57.25,57.2,57.25,124706.0
2023-01-02 10:21:59,57.25,57.25,57.2,57.2,294376.0
2023-01-02 10:22:59,57.25,57.25,57.2,57.25,83413.0
2023-01-02 10:23:59,57.25,57.25,57.15,57.25,414791.0
2023-01-02 10:24:59,57.2,57.2,57.15,57.2,74584.0
2023-01-02 10:25:59,57.2,57.25,57.15,57.25,117638.0
2023-01-02 10:26:59,57.25,57.35,57.2,57.35,370642.0
2023-01-02 10:27:59,57.25,57.4,57.25,57.35,309566.0
2023-01-02 10:28:59,57.35,57.35,57.25,57.3,112141.0
2023-01-02 10:29:59,57.3,57.3,57.25,57.25,155800.0
2023-01-02 10:30:59,57.25,57.3,57.2,57.2,216981.0
2023-01-02 10:31:59,57.2,57.3,57.2,57.25,141618.0
2023-01-02 10:32:59,57.3,57.3,57.2,57.25,59600.0
2023-01-02 10:33:59,57.25,57.25,57.2,57.2,50114.0
2023-01-02 10:34:59,57.2,57.25,57.2,57.25,52691.0
2023-01-02 10:35:59,57.25,57.3,57.2,57.3,198903.0
2023-01-02 10:36:59,57.25,57.3,57.25,57.25,84126.0
2023-01-02 10:37:59,57.3,57.4,57.3,57.35,390592.0
2023-01-02 10:38:59,57.4,57.45,57.35,57.4,413636.0
2023-01-02 10:39:59,57.4,57.45,57.35,57.4,217272.0
2023-01-02 10:40:59,57.4,57.4,57.3,57.3,204278.0
2023-01-02 10:41:59,57.25,57.35,57.25,57.3,183114.0
2023-01-02 10:42:59,57.25,57.35,57.25,57.35,84471.0
2023-01-02 10:43:59,57.35,57.35,57.25,57.3,83647.0
2023-01-02 10:44:59,57.3,57.3,57.25,57.25,39309.0
2023-01-02 10:45:59,57.25,57.3,57.25,57.3,33369.0
2023-01-02 10:46:59,57.25,57.3,57.25,57.25,23833.0
2023-01-02 10:47:59,57.25,57.3,57.2,57.2,130851.0
2023-01-02 10:48:59,57.25,57.3,57.2,57.3,75797.0
