datetime,SBICARD_open,SBICARD_high,SBICARD_low,SBICARD_close,SBICARD_volume
2023-01-02 09:15:59,795.0,799.0,794.5,798.3,2981.0
2023-01-02 09:16:59,799.1,799.65,796.05,796.05,6844.0
2023-01-02 09:17:59,794.8,796.25,794.45,796.25,4406.0
2023-01-02 09:18:59,795.55,796.0,794.15,796.0,4435.0
2023-01-02 09:19:59,796.5,796.5,795.0,795.0,911.0
2023-01-02 09:20:59,794.6,795.6,792.95,794.15,4099.0
2023-01-02 09:21:59,794.2,794.5,793.9,793.9,1283.0
2023-01-02 09:22:59,793.0,793.45,792.7,793.1,1777.0
2023-01-02 09:23:59,793.0,793.2,792.4,792.4,1764.0
2023-01-02 09:24:59,793.35,794.5,793.15,794.0,2293.0
2023-01-02 09:25:59,793.8,793.8,793.0,793.65,316.0
2023-01-02 09:26:59,794.0,794.0,792.85,792.85,2027.0
2023-01-02 09:27:59,793.5,793.5,792.75,793.1,2600.0
2023-01-02 09:28:59,793.1,793.45,793.1,793.45,605.0
2023-01-02 09:29:59,793.45,793.65,792.55,793.45,722.0
2023-01-02 09:30:59,793.45,793.65,791.7,791.7,2435.0
2023-01-02 09:31:59,791.55,792.9,791.1,792.05,1319.0
2023-01-02 09:32:59,792.05,792.8,791.75,792.35,399.0
2023-01-02 09:33:59,792.35,793.45,792.0,792.55,213.0
2023-01-02 09:34:59,792.55,794.0,792.55,794.0,1008.0
2023-01-02 09:35:59,793.9,793.9,793.05,793.65,363.0
2023-01-02 09:36:59,793.65,793.65,793.1,793.45,224.0
2023-01-02 09:37:59,793.45,793.8,793.45,793.5,142.0
2023-01-02 09:38:59,793.5,794.0,793.45,793.85,205.0
2023-01-02 09:39:59,793.45,794.0,793.45,793.65,174.0
2023-01-02 09:40:59,793.9,794.35,793.6,793.65,1007.0
2023-01-02 09:41:59,794.0,794.0,793.8,794.0,112.0
2023-01-02 09:42:59,794.0,794.3,794.0,794.0,450.0
2023-01-02 09:43:59,793.85,794.4,793.85,794.4,889.0
2023-01-02 09:44:59,794.1,794.5,794.1,794.4,107.0
2023-01-02 09:45:59,794.5,796.15,794.5,796.0,1772.0
2023-01-02 09:46:59,795.15,795.55,795.05,795.1,452.0
2023-01-02 09:47:59,795.1,795.5,795.1,795.15,932.0
2023-01-02 09:48:59,795.4,795.5,795.1,795.1,856.0
2023-01-02 09:49:59,795.1,795.5,795.1,795.1,430.0
2023-01-02 09:50:59,795.5,795.5,795.1,795.2,359.0
2023-01-02 09:51:59,795.15,795.5,795.15,795.4,499.0
2023-01-02 09:52:59,795.4,796.0,795.4,796.0,557.0
2023-01-02 09:53:59,796.0,796.0,795.5,795.8,997.0
2023-01-02 09:54:59,795.8,796.45,795.8,796.45,819.0
2023-01-02 09:55:59,796.45,796.45,796.05,796.45,401.0
2023-01-02 09:56:59,796.45,796.45,795.8,795.8,607.0
2023-01-02 09:57:59,795.8,795.8,795.4,795.4,684.0
2023-01-02 09:58:59,795.4,795.65,795.25,795.25,182.0
2023-01-02 09:59:59,795.3,795.8,795.2,795.8,330.0
2023-01-02 10:00:59,795.8,796.05,795.5,796.05,573.0
2023-01-02 10:01:59,796.05,796.4,796.05,796.25,352.0
2023-01-02 10:02:59,796.45,796.45,795.9,795.9,1094.0
2023-01-02 10:03:59,796.0,796.0,795.6,795.6,264.0
2023-01-02 10:04:59,795.95,795.95,795.5,795.75,153.0
2023-01-02 10:05:59,795.75,796.45,795.75,796.45,1357.0
2023-01-02 10:06:59,796.05,796.5,795.5,795.5,1980.0
2023-01-02 10:07:59,795.8,796.15,795.55,796.15,62.0
2023-01-02 10:08:59,796.15,796.3,796.0,796.0,178.0
2023-01-02 10:09:59,796.0,796.4,795.55,795.8,471.0
2023-01-02 10:10:59,796.0,796.4,795.8,796.2,1055.0
2023-01-02 10:11:59,796.2,797.4,795.6,797.25,3065.0
2023-01-02 10:12:59,797.8,797.85,797.3,797.85,311.0
2023-01-02 10:13:59,797.4,797.9,797.4,797.5,1607.0
2023-01-02 10:14:59,797.9,797.9,797.15,797.15,171.0
2023-01-02 10:15:59,797.15,797.15,796.5,796.5,642.0
2023-01-02 10:16:59,796.5,797.1,796.5,797.1,123.0
2023-01-02 10:17:59,797.1,797.15,796.65,797.0,85.0
2023-01-02 10:18:59,796.75,797.0,796.75,797.0,85.0
2023-01-02 10:19:59,797.0,797.0,796.05,797.0,1648.0
2023-01-02 10:20:59,797.0,797.6,797.0,797.6,1121.0
2023-01-02 10:21:59,797.6,797.6,797.15,797.55,271.0
2023-01-02 10:22:59,797.55,797.6,797.15,797.6,339.0
2023-01-02 10:23:59,797.6,797.6,797.25,797.5,120.0
2023-01-02 10:24:59,797.5,797.55,797.25,797.5,623.0
2023-01-02 10:25:59,797.45,797.45,797.0,797.3,148.0
2023-01-02 10:26:59,797.3,797.45,797.0,797.45,1053.0
2023-01-02 10:27:59,797.45,797.45,797.0,797.0,499.0
2023-01-02 10:28:59,797.0,797.45,797.0,797.2,2256.0
2023-01-02 10:29:59,797.2,797.3,796.85,796.85,441.0
2023-01-02 10:30:59,796.85,797.2,796.25,796.25,492.0
2023-01-02 10:31:59,796.15,796.9,796.15,796.5,214.0
2023-01-02 10:32:59,796.6,796.6,795.9,795.95,660.0
2023-01-02 10:33:59,796.0,796.2,795.6,796.2,208.0
2023-01-02 10:34:59,796.25,796.25,796.0,796.0,280.0
2023-01-02 10:35:59,796.4,796.4,795.85,796.25,276.0
2023-01-02 10:36:59,796.25,796.4,795.8,796.35,344.0
2023-01-02 10:37:59,795.95,796.4,795.9,796.1,78.0
2023-01-02 10:38:59,796.1,796.75,796.0,796.75,886.0
