datetime,TATACHEM_open,TATACHEM_high,TATACHEM_low,TATACHEM_close,TATACHEM_volume
2023-01-02 09:15:59,941.85,943.15,939.25,941.6,7805.0
2023-01-02 09:16:59,941.85,943.7,941.7,943.7,2674.0
2023-01-02 09:17:59,942.55,942.55,941.4,941.95,7311.0
2023-01-02 09:18:59,941.5,941.65,939.65,941.65,4903.0
2023-01-02 09:19:59,942.1,942.5,941.4,941.4,5794.0
2023-01-02 09:20:59,940.65,941.85,938.5,941.2,8580.0
2023-01-02 09:21:59,941.2,941.6,940.3,940.55,795.0
2023-01-02 09:22:59,940.4,940.45,939.0,939.95,3049.0
2023-01-02 09:23:59,939.5,940.0,938.6,940.0,2099.0
2023-01-02 09:24:59,940.5,941.5,939.7,940.85,4124.0
2023-01-02 09:25:59,940.85,940.85,940.05,940.25,2375.0
2023-01-02 09:26:59,940.55,940.55,939.25,939.25,2399.0
2023-01-02 09:27:59,939.15,939.15,938.15,938.15,1991.0
2023-01-02 09:28:59,938.35,938.75,937.5,937.5,2706.0
2023-01-02 09:29:59,937.6,937.75,935.6,936.2,3701.0
2023-01-02 09:30:59,936.1,936.5,935.05,935.3,2071.0
2023-01-02 09:31:59,935.3,936.55,933.2,936.15,5358.0
2023-01-02 09:32:59,935.7,936.25,934.65,935.95,1129.0
2023-01-02 09:33:59,935.85,936.9,934.95,936.5,4850.0
2023-01-02 09:34:59,936.3,937.2,935.45,935.8,2390.0
2023-01-02 09:35:59,935.8,935.8,934.75,935.45,2196.0
2023-01-02 09:36:59,935.45,935.55,934.8,935.25,1761.0
2023-01-02 09:37:59,935.25,935.9,934.85,935.5,1135.0
2023-01-02 09:38:59,935.5,936.0,934.0,934.0,3290.0
2023-01-02 09:39:59,934.75,935.2,934.2,935.2,1867.0
2023-01-02 09:40:59,935.2,935.2,932.95,932.95,4434.0
2023-01-02 09:41:59,933.5,934.85,933.5,934.85,1253.0
2023-01-02 09:42:59,934.45,934.85,933.45,933.8,2827.0
2023-01-02 09:43:59,933.85,934.05,932.4,932.9,3199.0
2023-01-02 09:44:59,932.9,933.45,932.4,933.1,1034.0
2023-01-02 09:45:59,933.4,933.4,932.8,932.8,1411.0
2023-01-02 09:46:59,932.05,932.3,931.55,932.3,6618.0
2023-01-02 09:47:59,932.3,934.15,932.1,934.15,4199.0
2023-01-02 09:48:59,934.0,934.65,933.6,934.1,4502.0
2023-01-02 09:49:59,934.05,934.25,934.0,934.15,466.0
2023-01-02 09:50:59,934.1,934.25,933.2,933.35,3918.0
2023-01-02 09:51:59,933.55,933.6,932.05,932.75,1936.0
2023-01-02 09:52:59,932.85,933.05,932.2,932.9,1397.0
2023-01-02 09:53:59,932.9,932.95,932.2,932.35,311.0
2023-01-02 09:54:59,932.75,934.05,932.7,932.7,5292.0
2023-01-02 09:55:59,932.75,933.6,932.55,933.2,1356.0
2023-01-02 09:56:59,933.2,933.3,932.7,933.0,409.0
2023-01-02 09:57:59,933.0,933.6,932.8,933.05,1155.0
2023-01-02 09:58:59,933.05,933.05,932.2,932.35,2213.0
2023-01-02 09:59:59,932.45,932.45,931.5,931.55,4308.0
2023-01-02 10:00:59,931.5,931.6,930.25,930.25,4965.0
2023-01-02 10:01:59,930.7,931.6,930.6,931.6,1396.0
2023-01-02 10:02:59,931.6,931.6,930.15,931.05,1439.0
2023-01-02 10:03:59,931.05,932.7,930.25,932.7,1327.0
2023-01-02 10:04:59,932.4,933.25,932.25,932.9,2699.0
2023-01-02 10:05:59,933.0,934.25,933.0,933.85,1701.0
2023-01-02 10:06:59,933.85,934.2,933.55,934.0,1488.0
2023-01-02 10:07:59,934.0,934.3,933.5,934.2,2648.0
2023-01-02 10:08:59,934.25,934.25,932.05,932.4,5080.0
2023-01-02 10:09:59,932.25,933.05,932.15,932.9,925.0
2023-01-02 10:10:59,932.8,933.45,932.8,933.35,427.0
2023-01-02 10:11:59,933.35,933.6,932.0,932.0,6710.0
2023-01-02 10:12:59,932.05,932.05,931.0,931.75,1913.0
2023-01-02 10:13:59,931.9,932.0,931.45,931.6,1183.0
2023-01-02 10:14:59,931.6,932.5,931.6,932.5,566.0
2023-01-02 10:15:59,932.1,932.85,932.1,932.4,1682.0
2023-01-02 10:16:59,932.3,933.0,932.25,933.0,734.0
2023-01-02 10:17:59,933.0,933.55,933.0,933.0,2166.0
2023-01-02 10:18:59,932.85,933.25,932.7,932.7,824.0
2023-01-02 10:19:59,932.7,932.95,932.5,932.65,1501.0
2023-01-02 10:20:59,933.1,933.3,932.9,933.2,1632.0
2023-01-02 10:21:59,933.2,933.3,932.75,932.8,885.0
2023-01-02 10:22:59,932.95,933.65,932.95,933.5,926.0
2023-01-02 10:23:59,933.5,933.5,932.5,932.55,1367.0
2023-01-02 10:24:59,932.6,935.25,932.6,935.25,17961.0
2023-01-02 10:25:59,935.25,936.0,934.85,935.3,3432.0
2023-01-02 10:26:59,935.65,936.0,935.0,935.9,2057.0
2023-01-02 10:27:59,935.85,936.0,935.45,935.85,1223.0
2023-01-02 10:28:59,935.85,935.95,935.0,935.1,2983.0
2023-01-02 10:29:59,935.15,935.55,935.0,935.25,758.0
2023-01-02 10:30:59,935.15,935.8,935.15,935.75,1385.0
2023-01-02 10:31:59,935.75,936.5,935.65,936.3,4047.0
2023-01-02 10:32:59,936.3,936.6,935.45,935.95,707.0
2023-01-02 10:33:59,935.95,936.05,935.45,935.9,310.0
2023-01-02 10:34:59,935.9,936.55,935.85,936.0,1202.0
2023-01-02 10:35:59,936.0,936.25,936.0,936.15,330.0
2023-01-02 10:36:59,936.0,936.85,935.5,936.35,4955.0
2023-01-02 10:37:59,936.25,937.0,936.25,937.0,1827.0
2023-01-02 10:38:59,937.0,938.0,936.85,937.4,2725.0
2023-01-02 10:39:59,937.4,937.4,936.1,936.35,2151.0
2023-01-02 10:40:59,936.5,937.0,936.3,936.65,1761.0
2023-01-02 10:41:59,936.65,936.65,936.0,936.05,2046.0
2023-01-02 10:42:59,936.05,936.5,935.65,936.4,887.0
2023-01-02 10:43:59,936.4,936.5,935.75,936.4,391.0
2023-01-02 10:44:59,936.4,936.5,936.05,936.35,857.0
2023-01-02 10:45:59,936.5,936.5,936.05,936.3,2330.0
2023-01-02 10:46:59,936.5,936.55,935.75,935.75,1468.0
2023-01-02 10:47:59,935.65,936.6,935.65,935.95,2333.0
2023-01-02 10:48:59,935.95,936.4,935.55,936.4,1108.0
2023-01-02 10:49:59,936.4,936.6,936.4,936.45,531.0
2023-01-02 10:50:59,936.5,936.75,936.5,936.55,699.0
2023-01-02 10:51:59,936.55,936.65,936.25,936.5,461.0
2023-01-02 10:52:59,936.35,936.65,936.35,936.6,362.0
2023-01-02 10:53:59,936.3,937.0,936.2,936.3,3340.0
2023-01-02 10:54:59,936.3,937.0,936.0,936.0,8157.0
2023-01-02 10:55:59,936.1,936.8,936.1,936.65,1219.0
2023-01-02 10:56:59,936.75,937.1,936.65,937.0,1029.0
2023-01-02 10:57:59,937.2,937.85,937.1,937.6,775.0
2023-01-02 10:58:59,937.35,937.8,937.35,937.6,747.0
2023-01-02 10:59:59,937.8,937.8,936.85,936.9,2981.0
2023-01-02 11:00:59,937.05,937.5,937.05,937.5,592.0
2023-01-02 11:01:59,937.3,937.5,937.2,937.35,227.0
2023-01-02 11:02:59,937.35,937.8,937.25,937.5,1202.0
2023-01-02 11:03:59,937.8,938.0,937.55,937.9,925.0
2023-01-02 11:04:59,937.9,937.9,937.4,937.9,529.0
2023-01-02 11:05:59,937.7,937.9,937.45,937.9,914.0
2023-01-02 11:06:59,937.9,937.9,937.5,937.75,519.0
2023-01-02 11:07:59,937.75,937.9,937.55,937.6,675.0
2023-01-02 11:08:59,937.85,937.85,937.25,937.3,1924.0
2023-01-02 11:09:59,937.3,937.75,937.3,937.75,901.0
2023-01-02 11:10:59,937.75,937.75,937.55,937.55,958.0
2023-01-02 11:11:59,937.5,938.0,937.45,937.45,802.0
2023-01-02 11:12:59,937.55,937.9,937.3,937.55,376.0
2023-01-02 11:13:59,937.55,937.55,936.85,936.85,1161.0
2023-01-02 11:14:59,936.9,937.2,936.65,937.2,340.0
2023-01-02 11:15:59,936.9,937.35,936.75,937.35,830.0
2023-01-02 11:16:59,937.35,937.35,936.5,936.85,1211.0
2023-01-02 11:17:59,936.85,937.25,936.7,936.9,457.0
2023-01-02 11:18:59,936.9,937.7,936.9,937.7,1479.0
2023-01-02 11:19:59,937.7,937.9,937.5,937.55,652.0
2023-01-02 11:20:59,937.55,937.9,937.35,937.35,587.0
2023-01-02 11:21:59,937.35,937.9,937.35,937.8,350.0
2023-01-02 11:22:59,937.9,937.9,937.45,937.9,578.0
2023-01-02 11:23:59,937.9,937.9,937.5,937.5,942.0
2023-01-02 11:24:59,937.5,937.9,937.3,937.9,318.0
2023-01-02 11:25:59,937.8,937.9,937.55,937.65,861.0
2023-01-02 11:26:59,937.65,937.75,937.4,937.7,541.0
2023-01-02 11:27:59,937.7,937.7,937.15,937.25,1343.0
2023-01-02 11:28:59,937.25,937.75,937.25,937.75,1197.0
2023-01-02 11:29:59,937.75,937.8,937.05,937.15,1427.0
2023-01-02 11:30:59,937.4,937.5,936.65,936.9,1132.0
2023-01-02 11:31:59,936.9,937.35,936.65,937.0,372.0
2023-01-02 11:32:59,936.6,937.45,936.5,936.8,748.0
2023-01-02 11:33:59,936.65,937.0,936.6,936.75,569.0
2023-01-02 11:34:59,936.75,937.45,936.75,937.45,449.0
2023-01-02 11:35:59,937.35,937.45,936.8,937.3,1015.0
2023-01-02 11:36:59,937.3,937.5,937.05,937.5,248.0
2023-01-02 11:37:59,937.5,937.8,937.4,937.65,1050.0
2023-01-02 11:38:59,937.7,937.8,937.6,937.7,380.0
2023-01-02 11:39:59,937.6,937.9,937.5,937.8,920.0
2023-01-02 11:40:59,937.8,938.2,937.55,938.2,5815.0
2023-01-02 11:41:59,938.1,938.95,938.1,938.4,1973.0
2023-01-02 11:42:59,938.5,938.85,938.35,938.75,436.0
2023-01-02 11:43:59,938.75,939.05,938.6,939.05,1973.0
2023-01-02 11:44:59,939.5,939.5,938.85,939.25,1703.0
2023-01-02 11:45:59,939.3,939.5,938.75,939.35,6460.0
2023-01-02 11:46:59,939.35,939.5,939.15,939.15,1763.0
2023-01-02 11:47:59,939.2,939.3,937.8,938.7,1642.0
2023-01-02 11:48:59,938.65,939.25,938.45,939.25,419.0
2023-01-02 11:49:59,939.05,939.25,938.5,939.0,385.0
2023-01-02 11:50:59,939.0,939.1,938.3,938.3,557.0
2023-01-02 11:51:59,938.3,938.9,938.3,938.4,1316.0
2023-01-02 11:52:59,938.3,938.85,938.05,938.65,715.0
2023-01-02 11:53:59,938.5,938.55,937.6,937.7,1707.0
2023-01-02 11:54:59,937.6,938.25,937.4,937.7,1056.0
2023-01-02 11:55:59,937.7,938.4,937.45,938.2,307.0
2023-01-02 11:56:59,937.85,938.3,937.85,937.95,516.0
2023-01-02 11:57:59,937.95,938.0,937.8,937.9,240.0
2023-01-02 11:58:59,937.75,938.0,937.6,937.75,244.0
2023-01-02 11:59:59,937.75,938.4,937.75,938.3,544.0
2023-01-02 12:00:59,938.2,938.4,938.2,938.3,283.0
2023-01-02 12:01:59,938.4,939.0,938.15,938.65,781.0
2023-01-02 12:02:59,938.65,939.7,938.55,939.55,1251.0
